city,property_type,area_sqft,bedrooms,bathrooms,age_years,floor,parking,furnished,facing,road_width,location_score,nearby_schools,nearby_hospital,nearby_metro,price
Delhi,Commercial,4031,2,4,22,8,0,Semi-Furnished,West,31,1.4,4,3,2,99882061
Surat,House,1799,2,4,8,15,1,Semi-Furnished,North,76,4.8,9,3,1,19200614
Hyderabad,Villa,3139,4,4,11,25,0,Furnished,North-West,84,8.7,0,3,1,54321685
Ahmedabad,Office,3570,2,3,22,5,3,Semi-Furnished,North,98,2.2,1,3,2,40007522
Jaipur,Commercial,2265,3,1,8,24,1,Semi-Furnished,North-East,57,8.6,3,4,2,25006153
Kolkata,Office,2355,3,1,14,3,0,Semi-Furnished,North,17,6.3,7,4,2,28862583
Mumbai,Commercial,2618,5,1,1,8,3,Semi-Furnished,West,82,9.4,9,1,1,80138189
Bangalore,Industrial,1789,5,4,10,26,3,Semi-Furnished,North-West,24,8.9,3,3,2,31288906
Jaipur,Office,3530,2,4,10,12,0,Semi-Furnished,North-East,41,7.1,2,4,0,31123086
Mumbai,Villa,4676,1,1,7,8,3,Furnished,North-West,62,6.9,2,2,1,165966664
Jaipur,Commercial,4514,4,1,22,5,2,Semi-Furnished,South-West,76,2.9,4,4,2,45031827
Ahmedabad,Commercial,1649,1,4,5,20,1,Semi-Furnished,East,13,2.1,2,4,1,19677362
Mumbai,Farm,3566,2,4,20,18,2,Unfurnished,North,39,4.7,7,1,0,44755657
Pune,Farm,1645,2,2,19,13,0,Furnished,North-West,22,2.7,4,4,0,13451407
Chennai,Apartment,453,1,2,6,20,2,Furnished,South,30,1.9,6,2,2,6639849
Pune,Office,3310,4,2,2,14,0,Furnished,South-West,50,3.7,7,3,1,54232272
Surat,Farm,2796,1,1,7,2,0,Furnished,North,28,8.7,4,0,2,15847102
Chennai,Apartment,842,5,3,17,4,3,Semi-Furnished,East,57,1.2,7,1,1,8835604
Pune,Industrial,4011,3,4,16,20,3,Semi-Furnished,North-West,95,3.6,2,2,2,54928234
Chennai,Industrial,4777,5,2,10,17,0,Unfurnished,North-East,72,4.8,6,1,2,56135142
Chennai,Farm,2807,3,3,1,13,1,Unfurnished,East,29,5.6,7,3,1,20845271
Hyderabad,Office,1222,2,4,24,15,1,Furnished,South,73,2.6,6,4,1,18808058
Bangalore,Commercial,4102,4,3,20,13,1,Unfurnished,North-West,46,9.7,1,4,0,80291222
Bangalore,House,3339,1,1,26,8,2,Unfurnished,South-East,40,6.2,7,2,0,53868181
Hyderabad,Office,1431,4,1,23,14,0,Furnished,South-East,83,5.7,5,3,1,22212486
Jaipur,Villa,2416,1,1,18,6,3,Furnished,West,27,1.1,9,0,0,30126897
Delhi,Industrial,962,5,2,6,13,2,Unfurnished,North,29,5.4,2,0,0,20247965
Jaipur,Farm,2938,5,4,17,5,2,Semi-Furnished,North-East,91,8.5,3,4,1,16531816
Mumbai,Farm,740,1,1,7,20,3,Unfurnished,West,20,3.0,6,3,1,11246767
Mumbai,Commercial,4967,4,2,13,14,0,Unfurnished,North-West,95,4.2,2,3,1,151079498
Chennai,Villa,4175,1,2,6,19,2,Semi-Furnished,South-East,53,1.2,0,2,2,75043735
Pune,Commercial,2696,2,2,27,7,0,Semi-Furnished,South-East,91,9.8,5,0,1,45695364
Pune,Villa,634,5,2,20,1,0,Furnished,South-East,73,1.6,2,2,1,13875360
Bangalore,House,1516,2,1,27,7,0,Furnished,North-West,43,9.1,9,1,1,28421445
Kolkata,Industrial,2308,5,2,26,0,3,Unfurnished,South-East,96,3.8,5,3,0,20148568
Jaipur,Farm,1817,5,1,3,25,0,Semi-Furnished,East,74,6.3,9,0,1,10338461
Surat,Farm,1691,3,1,16,16,2,Furnished,South-West,64,7.1,2,2,0,10753469
Ahmedabad,House,3888,2,2,4,18,3,Unfurnished,North-West,83,2.3,5,4,2,36232802
Pune,Apartment,4054,2,1,11,4,3,Semi-Furnished,North-East,10,5.0,3,1,1,44478265
Ahmedabad,Industrial,928,3,4,8,29,2,Unfurnished,South-West,47,3.9,3,2,1,10922061
Chennai,Commercial,3724,4,4,25,21,3,Furnished,West,18,1.5,9,4,0,63159753
Ahmedabad,House,2380,2,3,19,19,2,Furnished,North-East,80,8.5,9,0,2,27571750
Surat,Commercial,3339,1,4,12,15,1,Semi-Furnished,South-West,26,1.4,1,0,1,33655864
Hyderabad,Office,1729,3,1,24,6,2,Unfurnished,South,61,6.9,3,1,2,22044800
Surat,Farm,1633,2,1,27,6,3,Semi-Furnished,South-East,27,3.8,3,4,2,8762654
Ahmedabad,Commercial,2153,4,4,17,17,2,Furnished,South,72,2.7,6,3,1,31539333
Surat,Villa,3200,2,2,19,17,1,Furnished,North,42,7.0,4,0,2,44820671
Delhi,Commercial,3333,5,2,8,1,0,Unfurnished,North,13,6.2,7,3,2,81938605
Chennai,Office,3159,1,1,3,14,0,Unfurnished,South-West,96,3.8,6,3,1,42012326
Jaipur,Industrial,3175,3,2,20,13,0,Unfurnished,South,84,5.6,9,2,0,23181978
Hyderabad,Farm,3887,5,3,26,17,3,Semi-Furnished,North-West,61,3.2,8,2,1,26505851
Pune,House,4250,4,3,7,28,1,Unfurnished,North-East,18,8.8,7,0,2,65538210
Mumbai,Office,2927,5,4,0,8,2,Unfurnished,South,73,3.8,8,3,1,75869663
Jaipur,Farm,1290,5,4,16,13,2,Furnished,North,39,3.2,0,2,0,8122882
Mumbai,Commercial,2465,4,2,24,4,2,Furnished,South,17,7.8,9,4,2,88982022
Chennai,Industrial,1588,5,1,8,10,2,Unfurnished,North-West,14,1.2,2,4,2,20165826
Hyderabad,Apartment,4697,3,4,19,7,3,Unfurnished,South,85,3.4,4,4,0,37057850
Bangalore,Industrial,1140,2,3,12,4,3,Furnished,North-East,72,4.4,8,4,0,21557973
Pune,Apartment,1769,5,4,1,28,1,Unfurnished,West,10,8.9,7,3,2,23089676
Delhi,Villa,1789,3,4,12,10,2,Semi-Furnished,North-West,24,9.6,9,4,0,51117329
Bangalore,Industrial,2400,2,3,8,4,0,Semi-Furnished,North,98,7.4,6,3,1,37807246
Chennai,Farm,1871,2,1,29,16,3,Semi-Furnished,North-East,91,5.4,1,0,0,13118752
Jaipur,Apartment,1936,5,4,19,21,1,Unfurnished,South,47,6.8,5,0,1,13995086
Delhi,House,718,3,4,5,3,1,Furnished,South,51,4.7,3,4,2,17437396
Surat,Farm,2664,5,4,27,14,3,Unfurnished,West,55,3.7,4,4,2,13599393
Ahmedabad,House,2294,4,2,0,18,0,Unfurnished,North,62,9.6,4,4,2,23628163
Delhi,Industrial,4111,2,4,27,21,0,Furnished,North,35,2.0,3,0,2,81374428
Chennai,House,3222,5,3,24,1,2,Furnished,East,70,4.1,3,2,2,48028286
Kolkata,Apartment,4908,2,1,4,23,3,Furnished,North,76,9.1,3,0,0,40282179
Ahmedabad,Farm,1675,3,1,2,16,0,Semi-Furnished,West,63,7.5,1,4,0,10187108
Mumbai,Commercial,3483,1,3,3,11,3,Unfurnished,South-East,31,1.3,0,2,2,100591202
Pune,Office,800,5,2,0,24,1,Furnished,East,35,1.2,1,2,0,14955698
Mumbai,Apartment,1123,5,3,13,23,1,Unfurnished,East,92,5.6,6,1,0,24069805
Delhi,Apartment,2729,2,1,8,16,1,Semi-Furnished,South,69,5.4,0,3,2,38570925
Mumbai,Commercial,1535,3,3,29,9,3,Semi-Furnished,South,48,5.0,5,4,0,49851345
Chennai,Farm,3170,4,2,23,27,2,Furnished,North,45,3.7,3,3,2,27121538
Surat,Farm,667,3,1,3,24,2,Furnished,East,30,9.9,1,1,2,7249541
Jaipur,Industrial,969,5,2,17,17,0,Unfurnished,South-West,50,3.4,2,3,2,8123748
Pune,House,2956,4,3,13,18,3,Furnished,South,57,5.4,6,4,2,48201618
Mumbai,Industrial,2373,3,4,24,17,2,Unfurnished,West,35,4.6,5,1,0,50947976
Mumbai,Commercial,945,1,3,3,12,3,Furnished,South-West,72,2.5,5,3,0,31659022
Delhi,Industrial,3222,2,2,24,13,2,Unfurnished,South,86,2.8,7,0,1,57333889
Jaipur,Commercial,4860,3,3,9,23,1,Unfurnished,North-West,45,9.3,7,2,1,48270491
Bangalore,Farm,670,3,4,2,15,1,Unfurnished,North-West,33,8.7,5,1,2,10140503
Mumbai,House,1138,1,2,22,17,0,Unfurnished,South,99,2.8,0,0,1,27260417
Chennai,Industrial,1657,5,3,6,25,1,Semi-Furnished,East,30,8.9,9,4,0,23142643
Kolkata,Apartment,458,2,2,9,17,2,Unfurnished,South-East,27,2.9,6,2,0,5628660
Pune,Villa,4581,3,2,12,15,0,Furnished,South-East,24,6.6,7,1,1,107512028
Mumbai,Office,789,4,1,3,16,0,Semi-Furnished,East,88,1.7,4,2,1,26301082
Chennai,Apartment,1118,3,1,17,6,1,Semi-Furnished,North-East,15,8.9,3,1,0,12168386
Chennai,Farm,4644,2,2,10,11,3,Unfurnished,South-East,52,1.5,6,1,1,31313555
Pune,Office,520,3,3,24,1,1,Semi-Furnished,North-West,40,6.0,5,3,0,9573931
Bangalore,Villa,3052,1,3,3,9,1,Unfurnished,West,37,8.0,5,2,0,70904570
Chennai,Villa,2703,3,3,23,4,0,Furnished,East,17,2.1,2,2,1,49089105
Kolkata,House,3311,3,4,13,20,1,Unfurnished,North,38,4.6,9,0,1,33388052
Chennai,Office,1199,4,2,17,2,2,Semi-Furnished,North-West,30,1.4,3,4,2,19244837
Chennai,House,3780,1,2,7,18,0,Furnished,West,90,7.1,4,0,2,54796515
Chennai,Apartment,2506,1,4,26,12,1,Unfurnished,West,97,3.8,8,3,2,23398437
Surat,Commercial,1509,3,2,9,11,3,Furnished,East,67,6.0,7,1,2,20302235
Surat,Commercial,1650,4,2,4,2,2,Furnished,West,69,9.4,2,3,2,24023508
Bangalore,Commercial,3040,3,4,22,5,3,Semi-Furnished,East,59,3.8,5,3,0,61698768
Mumbai,Office,2049,3,1,6,13,2,Furnished,South-East,40,1.4,9,0,1,66726915
Chennai,Commercial,1745,2,2,11,3,3,Semi-Furnished,South,56,7.1,0,1,0,25783767
Jaipur,Apartment,3356,2,4,24,12,1,Furnished,North-West,43,8.1,2,4,2,24087476
Mumbai,House,2846,4,3,2,18,2,Unfurnished,North-East,11,9.6,9,3,2,71992618
Bangalore,Office,3764,5,1,25,17,0,Furnished,South,76,2.4,6,4,1,80400316
Hyderabad,House,884,2,3,3,28,0,Unfurnished,North-West,81,4.5,6,1,0,12483410
Mumbai,Office,1202,5,2,9,2,3,Unfurnished,East,61,8.6,1,1,2,35536189
Mumbai,House,2115,1,1,3,19,3,Furnished,North-West,16,8.3,2,0,2,63645304
Ahmedabad,Villa,2315,2,4,14,5,3,Unfurnished,South-East,85,6.6,6,2,2,28924300
Delhi,House,3883,2,2,28,15,2,Furnished,East,28,3.4,5,0,2,88690696
Ahmedabad,Commercial,2157,4,4,9,19,0,Furnished,South,99,3.6,6,4,0,29078653
Kolkata,Villa,2209,5,1,20,23,1,Unfurnished,North,24,2.1,9,0,0,29552162
Surat,House,3407,2,3,29,2,2,Unfurnished,North,87,9.3,8,1,2,27011716
Surat,Office,3625,2,2,21,11,3,Semi-Furnished,South-West,57,2.6,7,3,0,33862045
Delhi,Office,3895,4,2,15,18,0,Unfurnished,South-West,23,6.2,5,2,2,86124752
Pune,Office,2720,4,4,14,18,3,Semi-Furnished,North-West,12,6.3,3,1,1,44221179
Pune,Farm,2070,5,1,18,23,1,Unfurnished,North,59,4.3,9,3,1,18328681
Bangalore,Apartment,1551,1,4,28,3,1,Furnished,East,63,4.2,8,4,1,23136603
Delhi,Office,2623,1,1,19,0,0,Unfurnished,West,15,7.0,6,4,0,52175277
Mumbai,Villa,3067,3,2,18,1,2,Furnished,East,58,4.5,4,4,2,121028228
Pune,Office,610,2,1,17,12,1,Furnished,West,32,3.3,1,0,1,11592591
Chennai,Farm,2894,5,2,25,29,1,Furnished,South,87,4.6,8,4,1,24026930
Jaipur,Commercial,4662,2,1,11,25,1,Semi-Furnished,North-East,87,8.3,6,4,0,48641276
Mumbai,Villa,2907,5,3,24,28,1,Unfurnished,West,29,9.7,8,0,0,90495148
Kolkata,Farm,3363,5,1,15,12,3,Furnished,North,86,6.7,8,3,1,21221106
Chennai,Commercial,3828,5,3,0,29,3,Furnished,East,69,8.0,9,1,2,69804828
Chennai,Industrial,3775,2,1,15,1,2,Semi-Furnished,South,54,5.8,4,2,2,41167245
Delhi,Industrial,4355,4,1,1,29,0,Unfurnished,North,70,6.6,6,4,2,75093002
Bangalore,Villa,4105,2,4,23,18,0,Unfurnished,South,65,9.9,4,4,1,95963866
Kolkata,House,3805,5,4,14,21,0,Semi-Furnished,North-East,11,4.9,2,4,0,38685314
Pune,Apartment,4438,3,2,6,23,1,Semi-Furnished,South-East,54,1.6,9,0,2,46097354
Delhi,Apartment,1452,1,4,27,15,3,Unfurnished,East,49,9.6,7,0,1,23028694
Pune,Farm,1113,5,1,0,11,3,Semi-Furnished,North-West,33,8.1,7,0,1,11845786
Delhi,Commercial,3288,3,4,4,0,2,Unfurnished,East,38,4.6,8,2,0,73515780
Delhi,Apartment,1087,4,1,9,8,0,Unfurnished,South-West,76,9.8,5,1,2,22011154
Delhi,Commercial,729,5,3,21,16,3,Furnished,North-East,77,4.1,1,4,1,22250688
Bangalore,Commercial,2146,3,1,20,9,2,Furnished,East,75,4.3,2,3,2,48910500
Delhi,Farm,1607,5,2,3,17,0,Unfurnished,South-West,93,6.5,9,4,2,21022232
Hyderabad,Farm,2542,2,3,13,18,1,Unfurnished,North-West,63,3.5,5,4,2,16738076
Jaipur,Farm,1184,3,2,12,6,3,Unfurnished,West,62,7.3,0,4,1,7221342
Pune,Apartment,3096,2,2,0,24,3,Unfurnished,South,88,2.4,1,4,2,35016544
Mumbai,Industrial,4220,2,2,15,18,0,Unfurnished,North-West,58,2.0,7,1,0,94916268
Ahmedabad,Farm,4118,3,4,22,23,1,Unfurnished,North,41,5.8,7,3,1,22434386
Kolkata,Apartment,3093,1,2,8,14,1,Semi-Furnished,North-East,70,6.0,5,0,1,26890503
Surat,Farm,1025,3,3,21,8,3,Unfurnished,West,51,2.0,2,3,2,6716439
Bangalore,Office,4634,1,1,15,9,0,Semi-Furnished,North,10,9.7,1,4,2,93726923
Mumbai,Commercial,4108,5,2,18,22,2,Semi-Furnished,North,72,6.2,5,3,2,133998800
Chennai,Farm,1161,5,3,14,19,3,Unfurnished,North-East,44,2.4,0,4,1,10734605
Hyderabad,Villa,4379,3,2,25,19,1,Unfurnished,West,60,3.8,9,3,0,67190545
Surat,Commercial,3929,5,1,13,3,2,Semi-Furnished,South-East,80,8.2,5,2,0,39116586
Ahmedabad,Commercial,1955,4,3,19,5,0,Semi-Furnished,North,54,5.7,8,3,1,24303647
Mumbai,Farm,4033,2,3,9,3,1,Unfurnished,North,86,2.7,6,0,0,56051289
Surat,Industrial,1075,2,1,20,4,2,Unfurnished,West,74,1.9,8,0,2,8941086
Mumbai,House,4587,1,3,11,8,3,Semi-Furnished,East,23,4.9,1,3,1,112532534
Hyderabad,Industrial,436,5,1,27,11,1,Semi-Furnished,North,12,4.0,4,3,0,5707675
Ahmedabad,Farm,4236,1,3,0,22,0,Semi-Furnished,South,33,6.9,8,1,1,23599697
Chennai,Commercial,2187,2,3,20,7,1,Furnished,West,74,9.3,6,3,0,37510881
Delhi,Villa,3127,2,1,16,20,3,Semi-Furnished,North,57,3.2,8,0,1,85198656
Pune,Commercial,4280,5,1,8,4,0,Furnished,North-East,19,8.7,5,2,0,83470474
Chennai,Industrial,2294,4,3,22,28,3,Unfurnished,North-West,22,9.3,6,0,1,25338708
Delhi,Villa,536,4,3,18,10,2,Unfurnished,South,82,9.1,9,1,1,16975432
Bangalore,Apartment,3476,5,1,24,22,1,Semi-Furnished,South-West,23,9.6,4,3,1,45907319
Jaipur,Office,4283,5,4,17,10,3,Unfurnished,South-West,19,8.6,5,2,1,35424399
Kolkata,Commercial,1061,1,1,27,12,2,Unfurnished,North-West,49,6.3,0,0,1,13349455
Kolkata,Farm,2210,5,3,6,13,0,Unfurnished,South-West,32,4.7,0,2,2,14059476
Pune,Apartment,814,4,3,8,27,0,Unfurnished,North-West,64,5.4,1,4,1,11544421
Ahmedabad,Office,742,5,3,21,7,2,Furnished,North,72,8.9,3,0,1,11567299
Hyderabad,Farm,3129,1,1,25,24,2,Furnished,South,80,3.7,8,4,1,22552279
Ahmedabad,House,3850,1,3,20,29,0,Semi-Furnished,South,51,2.4,6,2,0,34290513
Hyderabad,Farm,4065,1,4,11,17,3,Semi-Furnished,East,75,2.3,5,3,1,27377339
Ahmedabad,Villa,4137,1,2,6,18,2,Semi-Furnished,North-West,88,8.4,0,3,2,56731035
Jaipur,Villa,4297,3,4,13,11,3,Unfurnished,South,82,7.9,4,3,1,43507655
Bangalore,House,4641,5,1,14,11,0,Unfurnished,East,56,5.5,3,4,0,77993524
Bangalore,Apartment,4818,2,3,14,17,3,Furnished,West,90,3.5,4,3,0,67887123
Delhi,Office,2569,5,1,5,9,3,Furnished,East,61,7.1,8,1,1,67776346
Surat,Farm,2278,3,2,20,6,2,Semi-Furnished,North-East,27,1.3,2,0,1,11139978
Bangalore,Villa,4370,1,1,13,27,3,Furnished,South-East,88,6.1,3,0,1,110308780
Bangalore,Apartment,4970,3,3,1,17,3,Furnished,North,27,4.6,7,2,1,73972992
Chennai,House,3017,4,2,7,11,3,Furnished,West,33,9.8,2,4,0,43344528
Chennai,Industrial,1915,4,2,12,13,0,Furnished,South-East,32,5.6,2,0,1,27377292
Delhi,Commercial,974,5,3,22,14,0,Furnished,South-East,21,6.0,8,4,0,29142714
Surat,Industrial,4842,5,3,5,15,1,Semi-Furnished,West,32,7.4,4,2,0,38794503
Pune,Industrial,3267,2,3,4,1,0,Semi-Furnished,North-East,30,5.4,9,3,2,43576765
Chennai,Villa,3944,2,1,4,29,0,Furnished,East,73,3.0,0,2,0,74207046
Pune,House,4877,4,4,24,29,1,Semi-Furnished,North,99,5.8,6,1,1,70942614
Mumbai,Farm,471,1,1,0,17,1,Unfurnished,East,81,9.5,6,3,1,10191108
Chennai,Industrial,2968,3,1,8,11,2,Furnished,South,43,4.7,5,3,1,36208897
Jaipur,Industrial,3837,2,4,5,15,2,Unfurnished,East,11,7.1,5,3,1,26510693
Surat,Office,3380,2,3,19,12,0,Semi-Furnished,South-West,78,9.8,2,2,2,34625786
Delhi,Villa,1517,1,3,25,19,3,Semi-Furnished,West,40,8.5,2,1,2,43061454
Mumbai,Villa,2786,1,4,29,16,2,Unfurnished,North,77,6.9,9,4,2,88610026
Surat,Farm,3908,5,4,6,17,2,Semi-Furnished,East,79,7.6,8,2,2,22036641
Jaipur,Commercial,1759,3,1,8,2,0,Furnished,North,96,9.4,0,0,0,19308230
Surat,Apartment,1915,1,2,4,22,3,Unfurnished,North,28,9.6,6,0,2,14938662
Jaipur,Office,439,2,4,13,9,1,Furnished,South,81,9.7,9,2,0,7662397
Jaipur,Villa,1782,2,1,4,0,1,Unfurnished,South,22,6.6,6,4,1,19766748
Pune,Office,2430,4,2,7,5,0,Semi-Furnished,West,74,4.5,7,0,0,39737618
Ahmedabad,Villa,3021,1,3,6,2,0,Unfurnished,North-East,15,2.2,5,4,0,36821697
Mumbai,Office,2300,5,3,12,18,3,Unfurnished,South-West,80,4.5,7,3,2,69662563
Surat,House,2617,3,1,12,3,0,Furnished,South-East,36,9.5,0,2,1,25674142
Hyderabad,Industrial,1683,5,1,7,28,0,Semi-Furnished,North,88,9.0,0,3,1,20301706
Mumbai,Villa,983,2,4,10,19,0,Furnished,North-East,61,5.7,8,0,2,40804886
Ahmedabad,Office,858,5,3,27,22,3,Semi-Furnished,South-East,96,5.8,3,4,0,12137753
Mumbai,Apartment,2665,2,1,25,2,0,Furnished,South-East,57,3.8,2,3,2,59491033
Bangalore,House,3066,2,3,17,7,2,Unfurnished,South-West,97,5.1,5,0,0,49600996
Hyderabad,House,1215,2,3,24,7,3,Furnished,West,88,7.4,9,1,2,17784122
Ahmedabad,Apartment,2911,2,4,18,26,2,Semi-Furnished,South-East,77,4.6,8,3,2,24077950
Pune,Office,646,2,2,5,28,3,Semi-Furnished,South-West,53,2.7,9,1,1,13435570
Surat,Farm,816,4,4,21,6,2,Unfurnished,South-East,26,5.9,3,1,1,5971788
Kolkata,Apartment,4863,5,1,1,1,3,Semi-Furnished,North,47,3.0,8,0,1,39917112
Ahmedabad,Office,4117,4,4,27,20,1,Furnished,North,19,9.8,4,2,2,53926889
Delhi,Apartment,507,4,4,12,5,0,Unfurnished,North-West,63,4.5,6,4,1,10205750
Surat,Apartment,3031,1,3,22,27,0,Semi-Furnished,North-East,15,9.2,2,0,1,19121812
Ahmedabad,Villa,1238,1,4,24,15,3,Semi-Furnished,East,15,3.0,2,3,2,16635734
Bangalore,Office,4913,1,1,27,9,2,Furnished,South-West,61,2.7,2,4,1,94345582
Kolkata,Farm,1821,3,2,25,3,1,Furnished,South,24,6.6,7,2,0,11298540
Bangalore,Industrial,4312,1,4,10,12,2,Unfurnished,South-West,77,8.0,5,0,1,63781099
Kolkata,Villa,655,5,4,0,9,0,Semi-Furnished,East,66,6.1,8,2,0,12667994
Delhi,Apartment,3227,4,2,23,20,0,Furnished,North-East,65,3.1,8,3,1,52944668
Surat,Industrial,1237,5,1,1,13,2,Unfurnished,South,16,1.3,7,0,2,12698960
Pune,Commercial,3362,1,1,29,8,3,Semi-Furnished,East,60,6.6,0,3,2,56207792
Bangalore,Industrial,2682,3,4,16,10,3,Semi-Furnished,North-West,67,2.2,5,4,1,42416080
Bangalore,Apartment,952,3,3,7,22,2,Unfurnished,South,73,4.1,3,4,0,13492400
Jaipur,Apartment,580,4,4,1,17,0,Unfurnished,North,35,7.1,3,2,1,7183923
Kolkata,Office,4652,5,2,5,10,2,Furnished,East,67,1.9,2,2,2,63875005
Chennai,Office,1877,2,2,21,16,0,Semi-Furnished,South-West,40,2.1,8,4,1,27985367
Surat,Villa,970,5,2,4,1,2,Semi-Furnished,South,75,1.6,1,1,2,12662409
Kolkata,Farm,2127,1,4,15,2,3,Semi-Furnished,North-West,22,10.0,0,4,0,13095663
Jaipur,Villa,991,2,4,7,10,1,Unfurnished,South-West,27,4.5,9,0,0,12109855
Mumbai,House,4916,3,1,18,17,0,Furnished,South-East,84,9.2,2,3,2,131043460
Kolkata,Apartment,2660,4,3,15,26,1,Semi-Furnished,South,22,3.6,3,4,0,24531177
Pune,Industrial,3347,4,4,12,2,3,Unfurnished,South,33,7.8,3,4,2,47665454
Surat,Commercial,747,3,1,25,25,2,Semi-Furnished,North-West,66,3.0,5,3,2,9034114
Jaipur,Apartment,565,1,4,19,14,3,Furnished,South-East,38,5.5,0,3,2,5605447
Mumbai,Apartment,4843,3,1,6,10,1,Semi-Furnished,East,65,8.4,0,0,1,96429837
Hyderabad,Villa,3296,1,1,15,10,3,Furnished,West,63,8.3,1,3,0,53691282
Jaipur,Commercial,4893,2,3,22,27,3,Furnished,East,14,8.1,3,2,1,52750202
Hyderabad,Commercial,982,3,4,15,29,2,Semi-Furnished,South-East,44,8.4,6,4,1,17027188
Surat,Commercial,3906,1,1,28,27,1,Semi-Furnished,North-East,28,2.9,5,3,0,40217755
Bangalore,Villa,4803,2,2,11,24,1,Furnished,South-West,64,5.3,8,0,1,128258314
Jaipur,Apartment,3438,3,2,13,19,1,Unfurnished,North-West,86,5.4,6,3,2,24161530
Delhi,Villa,3245,4,2,23,27,0,Furnished,East,78,9.0,4,4,1,99186226
Hyderabad,Office,3166,3,3,17,24,3,Semi-Furnished,South,53,3.7,5,1,2,40264017
Pune,Office,4594,5,1,26,10,1,Semi-Furnished,North-West,87,9.4,9,3,0,75681081
Delhi,Villa,1665,3,3,27,18,3,Unfurnished,North,47,5.1,8,2,1,43062411
Ahmedabad,Commercial,4653,5,4,17,27,2,Furnished,South-East,71,7.0,0,4,0,64915561
Ahmedabad,Apartment,3367,2,4,15,0,2,Furnished,South-West,31,3.4,8,0,2,28125446
Mumbai,Villa,2674,3,1,19,26,0,Furnished,East,82,4.7,5,4,1,104204072
Bangalore,Villa,2870,2,2,15,4,0,Semi-Furnished,North-West,49,7.4,3,1,2,69430789
Surat,Villa,2690,2,1,12,9,2,Furnished,South-West,35,5.6,4,0,2,35626331
Jaipur,House,2977,1,1,25,9,1,Unfurnished,East,14,9.4,0,1,2,24350126
Chennai,Office,4060,2,1,28,13,2,Semi-Furnished,North-West,63,7.6,6,1,0,57486367
Pune,Industrial,1468,2,3,8,1,3,Semi-Furnished,South,95,6.1,7,2,0,22193326
Hyderabad,Commercial,3136,3,4,25,3,0,Furnished,North,58,9.0,4,3,0,51909247
Surat,Farm,2350,3,1,27,1,0,Unfurnished,North,12,7.0,1,2,1,10427618
Delhi,Industrial,491,4,1,8,17,2,Semi-Furnished,North-East,47,6.8,7,2,2,12544510
Ahmedabad,Commercial,3493,1,1,12,12,1,Semi-Furnished,North-West,23,3.2,9,2,0,40382473
Pune,Farm,2619,2,3,28,18,1,Furnished,East,56,4.6,6,0,2,21710323
Chennai,House,1787,1,3,3,4,3,Furnished,North,23,7.1,9,3,0,24997316
Jaipur,Villa,4674,5,3,8,19,0,Unfurnished,South-East,84,9.0,8,3,2,48428136
Mumbai,House,2685,2,1,14,1,2,Furnished,North,82,3.8,3,0,0,73321939
Chennai,House,3606,1,2,13,10,2,Unfurnished,West,47,2.9,8,2,0,44686894
Pune,Industrial,3324,4,2,18,29,0,Semi-Furnished,West,73,6.3,3,2,0,43650502
Chennai,Apartment,679,4,2,11,29,2,Unfurnished,North,53,1.6,2,1,0,9228414
Pune,Industrial,2018,2,4,20,25,0,Unfurnished,North-West,79,7.4,2,1,2,28438954
Pune,Office,3187,5,1,25,17,1,Unfurnished,North-East,74,7.3,9,4,0,51694146
Kolkata,Farm,770,4,2,24,29,1,Semi-Furnished,North,34,4.2,1,1,0,5588721
Hyderabad,Villa,3583,4,2,5,5,2,Furnished,South,25,9.0,9,3,0,62918400
Ahmedabad,Industrial,4234,5,2,2,22,1,Semi-Furnished,South-West,24,5.5,2,0,2,40337162
Kolkata,Farm,2103,1,1,25,27,1,Furnished,East,90,6.8,7,2,0,14477073
Jaipur,Commercial,2668,4,2,24,9,3,Unfurnished,North-East,12,2.9,7,4,2,26934602
Kolkata,Farm,703,3,2,21,21,0,Unfurnished,South,76,4.8,1,1,1,5273398
Bangalore,Commercial,4174,4,1,19,22,0,Unfurnished,North-East,46,8.8,1,4,2,81093709
Bangalore,Industrial,1748,1,4,15,16,2,Unfurnished,South,90,2.9,1,0,1,25106660
Ahmedabad,Office,2822,1,3,29,21,0,Unfurnished,East,64,4.5,9,0,0,29396363
Chennai,Industrial,4028,2,2,19,10,3,Furnished,East,47,3.9,6,4,0,47929638
Hyderabad,Commercial,2828,3,3,23,18,2,Furnished,West,72,2.4,5,4,2,44073953
Ahmedabad,Farm,3433,1,4,22,16,2,Unfurnished,North-West,10,3.6,0,4,0,16456915
Pune,Farm,1068,5,4,16,23,0,Semi-Furnished,South,80,3.1,1,2,0,10328421
Delhi,Commercial,899,3,2,15,3,1,Semi-Furnished,South-West,99,9.3,0,3,2,25572729
Hyderabad,House,1814,3,1,5,25,1,Unfurnished,West,28,7.7,6,1,0,23372211
Hyderabad,Office,929,5,4,7,23,1,Furnished,South,61,3.8,5,1,1,16784666
Pune,Apartment,4021,4,3,18,25,1,Semi-Furnished,West,39,7.9,1,1,1,43405943
Pune,Villa,3856,5,3,29,13,3,Semi-Furnished,East,64,1.2,1,4,0,74355275
Mumbai,Farm,1154,5,3,24,26,2,Semi-Furnished,North-East,23,5.7,1,4,0,17010319
Ahmedabad,Villa,2747,4,3,25,19,1,Unfurnished,South-East,22,3.3,7,4,1,33163420
